"ResponseTime","ResponseCode"
"2136","HTTP/1.1 200 OK"
"527","HTTP/1.1 200 OK"
"569","HTTP/1.1 200 OK"
"543","HTTP/1.1 200 OK"
"534","HTTP/1.1 200 OK"
"628","HTTP/1.1 200 OK"
"562","HTTP/1.1 200 OK"
"565","HTTP/1.1 200 OK"
"540","HTTP/1.1 200 OK"
"554","HTTP/1.1 200 OK"
"605","HTTP/1.1 200 OK"
"738","HTTP/1.1 200 OK"
"563","HTTP/1.1 200 OK"
"530","HTTP/1.1 200 OK"
"540","HTTP/1.1 200 OK"
"597","HTTP/1.1 200 OK"
"565","HTTP/1.1 200 OK"
"528","HTTP/1.1 200 OK"
"520","HTTP/1.1 200 OK"
"517","HTTP/1.1 200 OK"
"541","HTTP/1.1 200 OK"
"506","HTTP/1.1 200 OK"
"698","HTTP/1.1 200 OK"
"535","HTTP/1.1 200 OK"
"572","HTTP/1.1 200 OK"
"513","HTTP/1.1 200 OK"
"581","HTTP/1.1 200 OK"
"525","HTTP/1.1 200 OK"
"512","HTTP/1.1 200 OK"
"526","HTTP/1.1 200 OK"
"568","HTTP/1.1 200 OK"
"526","HTTP/1.1 200 OK"
"527","HTTP/1.1 200 OK"
"553","HTTP/1.1 200 OK"
"527","HTTP/1.1 200 OK"
"1540","HTTP/1.1 200 OK"
"519","HTTP/1.1 200 OK"
"511","HTTP/1.1 200 OK"
